fremdsprache,deutsch,deklination,lektion,richtig,falsch
signum,das Zeichen das Feldzeichen die Statue,i n,7.1,20,4
tradere,übergeben überliefern,trado tadidi traditum,7.1,14,11
populus,das Volk,i m,7.1,18,7
cogere,zusammentreiben versammeln zwingen,cogo coegi coactum,7.1,21,4
deus,der Gott,i m,7.1,22,2
metuere,fürchten,metuo metui,7.1,23,2
occidere,sterben,occido occidi,7.1,25,1
oppidum,die Siedlung die Stadt,i n,7.1,16,9
auferre,wegtragen rauben,au-fero abs-tuli ab-latum,7.1,24,2
respondere,antworten,respondeo spondi responsum,7.1,17,4
religio,die Religiöse Ehrfurcht,religionis f,7.1,20,1
permittere,erlauben,mitto misi missum,7.1,18,3
senatus,der Senat,us m,7.1,15,9
poena,die Strafe,ae f,7.1,20,3
vivus,lebend lebendig,a um,7.1,21,0
relinquere,zurücklassen verlassen,relinquo reliqui relictum,7.1,11,12
statua,die Statue,ae f,7.1,17,5
sedere,sitzen,sedeo sedi sessum,7.1,16,5
praeceps,kopfüber steil,praecipits,7.1,18,3
forum,das Forum der Markt,i n,7.1,13,7
nudus,nackt,i n,7.1,12,7
constituere,aufstellen festsetzen beschließen,con stituo stui stitutum,7.1,0,19
vincire,fesseln binden,vincio vinxi vinctum,7.1,13,5
mens,der Sinn der Verstand,mentis f,7.1,15,4
finis,das Ende die Grenze das Ziel,is m,7.1,10,10
iniuria,das Unrecht,ae f,7.1,16,5
crudelitas,die Grausamkeit,atis f,7.1,13,8
clamor,das Geschrei der Lärm,clamoris m,7.1,10,9
promittere,versprechen,pro mitto misi missum,7.1,17,3
immortalis,unsterblich,is e,7.1,12,4
erfugere,fliehen vor,fugio fugi,8,44,19
narrare,erzählen,,8,62,0
incipere,anfangen,incipio coepi coeptum,8,58,12
consilium,die Versammlung der Rat die Beratung der Plan der Beschluss,i n,8,53,12
capere,packen erobern nehmen erhalten,capio cepi captum,8,49,14
Romanus,römisch der Römer,,8,50,3
aperire,öffnen aufdecken,aperio aperui apertum,8,36,19
agere,treiben tun handeln verhandeln,ago egi actum,8,43,25
homo,der Mensch der Mann,hominis m,8,47,5
ferre,tragen ertragen berichten,fero tuli latum,8,40,33
parare,vorbereiten,,8,48,0
clam,heimlich,,8,37,10
prope,in der Nähe,,8,41,6
quasi,gleichsam wie wenn,,8,40,9
lux,das Licht,lucis f,8,42,4
liberatas,die Freiheit,atis f,8,42,4
vivere,leben,vivo vixi,8,37,10
re-vivere,wieder aufleben,,8,44,3
iter,der Weg der Marsch die Reise,itineris n,8,43,20
facinus,die Tat das Verbrechen,facinoris n,8,47,25
ire,gehen,eo li itum,8,40,23
in-ire,hineingehen anfangen,,8,34,30
is ae id,der dieser er,,8,32,8
trahere,ziehen,traho traxi tractum,8,37,14
re-trahere,zurückziehen,,8,45,15
magistratus,der Beamte,us m,8,32,4
ducere,führen meinen für etw halten,duco duxi ductum,8,33,14
re-ferre,zurückbringen berichten,refero rettuli relatum,8,32,24
civis,der Bürger,civis m,8,27,7
gratia,die Ausstrahlung die Beliebtheit die Symphatie die Gefälligkeit der Dank,ae f,8,4,55
gratias agere,danken,,8,18,5
diligentia,die Sorgfalt,ae f,8,19,2
laudare,loben,,8,20,1
iratus,zornig,a um,8,15,6
ardere,brennen glühen,ardeo arsi,8,21,9
medius,der mittlere,a um,8,6,7
miser,bedauernswert unglücklich,era erum,8,10,18
ad-ferre,herbei-loben,affero attuli allatum,8,12,10
frustra,vergeblich,,8,9,3
caedere,abschlag,,,0,0
hlagen,cadeo cecidi caesum,8,0,0,0
iudex,der Richter,iudicis m,8,12,12
nullus,kein keiner,a um,8,17,9
Nominativ Sg,Us a um,,21,123,5
Genitiv Sg,I ae i is,,21,98,17
Dativ Sg,O ae o i,,21,91,27
Akkusativ Sg,Um am um em us,,21,73,13
Ablativ Sg,o a o e,,21,62,19
Nominativ Pl,i ae a es a,,21,52,7
Genitiv Pl,orum arum orum um,,21,37,6
Dativ Pl,is is is ibus,,21,14,4
Akkusativ Pl,os as a es a,,21,3,3
Ablativ Pl,is is is ibus,,21,0,0
Wie,TATZ Worum geht es? Intention Kernaussage/Hauptargument zusammenfassung Argumentation und Sprache analysieren Einleitung aufgreifen eigene Bewertung Bedeutung,,231,0,17
Argumentationsarten,Faktenargument(Nachweise) Autoritätsargument(Autoritätsperson) Normatives Argument(Moral),,231,0,3
Imperfekt,bam bas bat bamus batis bant,,zeiten,17,12
perfekt,i isti it imus istis erunt,,zeiten,20,10
plusquamperfekt,eram eras erat eramus eratis erant,,zeiten,14,13
Nom SG.,is ea id,,is ea id,46,2
Gen. SG,eius eius eius,,is ea id,40,5
Dat. SG,ei ei ei,,is ea id,43,1
Akk. SG,eum eam id,,is ea id,35,10
Abl. SG,eo ea eo,,is ea id,31,2
Nom PL,ii/ei eae ea,,is ea id,24,4
Gen PL,eorum earum eorum,,is ea id,19,5
Dat. PL,iis/eis iis/eis iis/eis,,is ea id,16,2
Akk. PL,eos eas ea,,is ea id,7,7
ABl. PL,iis/eis iis/eis iis/eis,,is ea id,8,0
m,us i o um o i orum is as is,,Deklinationen,40,4
f,a ae ae am a ae arum is as is,,Deklinationen,31,12
n,um i o um o a orum is a is,,Deklinationen,37,6
kons m/f,homo is i em e es um ibus es ibus,,Deklinationen,28,10
kons n,us is i us e era um ibus era ibus,,Deklinationen,23,15
Alliteration,Wiederholung des gleichen Buchstaben,,Rethorische Mittel,2,3
Anapher,Gleiches Wort am anfang des Satzes,,Rethorische Mittel,1,1
Asyndeton,Aufreihung ohne zwischen wort,,Rethorische Mittel,3,1
polisyndeton,Aufreihung mit zwischen wort,,Rethorische Mittel,2,1
Metapher,andere bedeutung für ein wort,,Rethorische Mittel,2,1
filius,der Sohn,i m,9,32,1
pellere,stoßen schlagen vertreiben,pello pepuli pulsum,9,25,21
mora,der Aufschub die Verzögerung,ae f,9,28,9
petere,aufsuchen sich begeben verlangen erbitten angreifen,peto petivi petitum,9,23,22
dicere,sagen sprechen nennen,dico dixi dictum,9,32,1
litus,die Küste der Strand,litoris n,9,19,3
agere,treiben tun handeln verhandeln,ago egi actum,9,24,3
